Date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLE,SLL,SOS,SRD,STD,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XCG,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
2004-08-30,,,,,,,,1.7237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-31,,,,,,,,1.7296,,,,,,,,,,,,,,,,,,,,1.5967,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,132.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-01,,,,,,,,1.7315,,,,,,,,,,,,,,,,,,,,1.5913,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,133.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-02,,,,,,,,1.7474,,,,,,,,,,,,,,,,,,,,1.5798,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,133.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-03,,,,,,,,1.7459,,,,,,,,,,,,,,,,,,,,1.5668,,1.5315,,,,,,,,,,,,,,,,,,1,,,0.6779,,,,,,,,,,,,,,,,,,,,,,,,133.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-06,,,,,,,,1.7418,,,,,,,,,,,,,,,,,,,,1.5672,,1.5324,,,,,,,,,,,,,,,,,,1,,,0.6778,,,,,,,,,,,,,,,,,,,,,,,,132.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-07,,,,,,,,1.743,,,,,,,,,,,,,,,,,,,,1.5576,,1.5338,,,,,,,,,,,,,,,,,,1,,,0.6822,,,,,,,,,,,,,,,,,,,,,,,,132.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-08,,,,,,,,1.7487,,,,,,,,,,,,,,,,,,,,1.5715,,1.5352,,,,,,,,,,,,,,,,,,1,,,0.681,,,,,,,,,,,,,,,,,,,,,,,,133.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-09,,,,,,,,1.7719,,,,,,,,,,,,,,,,,,,,1.5688,,1.5403,,,,,,,,,,,,,,,,,,1,,,0.6833,,,,,,,,,,,,,,,,,,,,,,,,133.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-10,,,,,,,,1.7616,,,,,,,,,,,,,,,,,,,,1.5808,,1.542,,,,,,,,,,,,,,,,,,1,,,0.6822,,,,,,,,,,,,,,,,,,,,,,,,134.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-13,,,,,,,,1.7618,,,,,,,,,,,,,,,,,,,,1.5933,,1.5428,,,,,,,,,,,,,,,,,,1,,,0.6819,,,,,,,,,,,,,,,,,,,,,,,,134.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-14,,,,,,,,1.7455,,,,,,,,,,,,,,,,,,,,1.5834,,1.5421,,,,,,,,,,,,,,,,,,1,,,0.6815,,,,,,,,,,,,,,,,,,,,,,,,134.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-15,,,,,,,,1.7487,,,,,,,,,,,,,,,,,,,,1.5765,,1.5428,,,,,,,,,,,,,,,,,,1,,,0.6837,,,,,,,,,,,,,,,,,,,,,,,,133.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-16,,,,,,,,1.7445,,,,,,,,,,,,,,,,,,,,1.573,,1.5439,,,,,,,,,,,,,,,,,,1,,,0.679,,,,,,,,,,,,,,,,,,,,,,,,133.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-17,,,,,,,,1.7436,,,,,,,,,,,,,,,,,,,,1.5801,,1.5448,,,,,,,,,,,,,,,,,,1,,,0.6789,,,,,,,,,,,,,,,,,,,,,,,,133.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-20,,,,,,,,1.7367,,,,,,,,,,,,,,,,,,,,1.5748,,1.5483,,,,,,,,,,,,,,,,,,1,,,0.6812,,,,,,,,,,,,,,,,,,,,,,,,133.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-21,,,,,,,,1.7514,,,,,,,,,,,,,,,,,,,,1.5862,,1.5452,,,,,,,,,,,,,,,,,,1,,,0.6861,,,,,,,,,,,,,,,,,,,,,,,,135.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-22,,,,,,,,1.735,,,,,,,,,,,,,,,,,,,,1.5743,,1.5447,,,,,,,,,,,,,,,,,,1,,,0.6837,,,,,,,,,,,,,,,,,,,,,,,,135.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-23,,,,,,,,1.7174,,,,,,,,,,,,,,,,,,,,1.57,,1.5465,,,,,,,,,,,,,,,,,,1,,,0.6826,,,,,,,,,,,,,,,,,,,,,,,,135.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-24,,,,,,,,1.7172,,,,,,,,,,,,,,,,,,,,1.5628,,1.5472,,,,,,,,,,,,,,,,,,1,,,0.6801,,,,,,,,,,,,,,,,,,,,,,,,135.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-27,,,,,,,,1.7244,,,,,,,,,,,,,,,,,,,,1.5622,,1.5493,,,,,,,,,,,,,,,,,,1,,,0.6795,,,,,,,,,,,,,,,,,,,,,,,,136.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2295,,,,,,,,,,,,,,,,,,,,
2004-09-28,,,,,,,,1.7177,,,,,,,,,,,,,,,,,,,,1.5665,,1.5506,,,,,,,,,,,,,,,,,,1,,,0.679,,,,,,,,,,,,,,,,,,,,,,,,137.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2323,,,,,,,,,,,,,,,,,,,,
2004-09-29,,,,,,,,1.7195,,,,,,,,,,,,,,,,,,,,1.5669,,1.5523,,,,,,,,,,,,,,,,,,1,,,0.6847,,,,,,,,,,,,,,,,,,,,,,,,136.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2331,,,,,,,,,,,,,,,,,,,,
2004-09-30,,,,,,,,1.7078,,,,,,,,,,,,,,,,,,,,1.5676,,1.5479,,,,,,,,,,,,,,,,,,1,,,0.6858,,,,,,,,,,,,,,,,,,,,,,,,136.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2431,,,,,,,,,,,,,,,,,,,,
2004-10-01,,,,,,,,1.709,,,,,,,,,,,,,,,,,,,,1.566,,1.5505,,,,,,,,,,,,,,,,,,1,,,0.6898,,,,,,,,,,,,,,,,,,,,,,,,136.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2407,,,,,,,,,,,,,,,,,,,,
2004-10-04,,,,,,,,1.6985,,,,,,,,,,,,,,,,,,,,1.5632,,1.5526,,,,,,,,,,,,,,,,,,1,,,0.6883,,,,,,,,,,,,,,,,,,,,,,,,136.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2286,,,,,,,,,,,,,,,,,,,,
