Date,AUD,CAD,CHF,EUR,GBP,INR,JPY,USD
2026-07-15,1.637232,1.607703,0.92523,1,0.852669,110.05718,185.555199,1.144138
2026-07-16,1.639113,1.611066,0.924242,1,0.847354,110.449833,185.925745,1.146724
2026-07-17,1.638326,1.606741,0.924847,1,0.849811,110.309521,185.883969,1.145043
2026-07-18,1.640184,1.604558,0.924345,1,0.85099,110.15336,185.842898,1.144028
2026-07-19,1.640184,1.604558,0.924345,1,0.85099,110.15336,185.842898,1.144028
2026-07-20,1.636826,1.602108,0.923458,1,0.849443,110.384234,185.740899,1.143746
2026-07-21,1.628812,1.606892,0.924858,1,0.849207,109.896043,185.573282,1.141944
2026-07-22,1.630767,1.609122,0.9272,1,0.85265,110.065128,186.086456,1.140966
2026-07-23,1.630287,1.607368,0.929877,1,0.853874,110.373241,186.437868,1.143247
2026-07-24,1.631277,1.602499,0.929975,1,0.854781,109.861138,186.398855,1.137799
2026-07-25,1.632144,1.60408,0.931214,1,0.854089,109.855614,186.402209,1.137604
2026-07-26,1.632144,1.60408,0.931214,1,0.854089,109.855614,186.402209,1.137604
2026-07-27,1.629003,1.608502,0.929087,1,0.854333,109.758942,186.659085,1.141279
2026-07-28,1.631204,1.604908,0.93112,1,0.855322,108.930961,186.101843,1.136753
2026-07-29,1.638767,1.606013,0.93239,1,0.857048,109.111371,186.429397,1.139861
2026-07-30,1.647442,1.60903,0.933889,1,0.857629,109.560152,187.245878,1.144956
2026-07-31,1.63713,1.613319,0.929261,1,0.855973,109.736442,184.869011,1.150509
2026-08-01,1.649976,1.617379,0.93183,1,0.855675,110.048515,181.627012,1.153663
2026-08-02,1.649976,1.617379,0.93183,1,0.855675,110.048515,181.580866,1.153663
2026-08-03,1.640128,1.618703,0.932214,1,0.856016,109.794107,180.476624,1.153666
2026-08-04,1.639142,1.617421,0.932474,1,0.856997,109.692588,181.406358,1.150563
2026-08-05,1.636978,1.623662,0.93219,1,0.85732,109.669915,181.857966,1.15353
2026-08-06,1.63884,1.618319,0.932401,1,0.857891,109.876891,182.136333,1.154841
2026-08-07,1.638971,1.616233,0.935472,1,0.856437,109.65853,182.427639,1.152341
2026-08-08,1.635501,1.613446,0.934181,1,0.856968,109.992259,182.445186,1.156136
2026-08-09,1.638747,1.61333,0.93588,1,0.858527,110.076256,182.445186,1.156136
2026-08-10,1.634699,1.612753,0.934701,1,0.856352,110.057475,182.953466,1.155429
2026-08-11,1.636072,1.60737,0.93576,1,0.854232,110.087954,183.713083,1.153799
2026-08-12,1.634368,1.606937,0.936689,1,0.854078,110.062389,183.866234,1.153522
2026-08-13,1.63413,1.607051,0.937687,1,0.853819,109.874944,183.603263,1.152021
2026-08-14,1.633341,1.605552,0.939123,1,0.854827,110.140415,183.72328,1.154135
2026-08-15,1.637736,1.60514,0.941189,1,0.85516,110.410701,184.272161,1.156733
2026-08-16,1.637736,1.60514,0.941189,1,0.85516,110.410701,184.272161,1.156733
2026-08-17,1.629227,1.606131,0.94011,1,0.854909,110.794817,184.245361,1.158641
2026-08-18,1.630137,1.604813,0.939402,1,0.85508,110.678327,184.81378,1.157006
2026-08-19,1.639243,1.609155,0.939968,1,0.855813,111.000107,184.617526,1.15956
2026-08-20,1.640624,1.611146,0.93358,1,0.858175,111.666372,185.200947,1.167624
2026-08-21,1.637044,1.609706,0.934718,1,0.856866,111.973659,185.798351,1.169823
2026-08-22,1.630081,1.609799,0.936657,1,0.856803,111.855262,185.834021,1.168765
2026-08-23,1.631897,1.609682,0.936657,1,0.856803,111.851385,185.804438,1.168765
